id,dataset_name,dataset_provider,dataset_type,variables_used,geographic_coverage,time_period,access_type,source_paper,evidence_sentence,citation,confidence,review_status,reviewer_notes
dataset-0001,Medicare,CMS,health claims,PM2.5; particulate matter; air pollution; NO2; O3,United States,not specified,public or controlled; verify source,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,"METHODS: Using 2021 Medicare data, we identified patients with established AF residing in western US states.",PMID: 42500877,high,pending,
dataset-0002,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA,not specified,not specified,public or controlled; verify source,Environmental Exposure to Emerging Per- and Polyfluoroalkyl Substances and Cardiovascular Diseases: A Mixture Analysis.,"METHODS: We conducted a cross-sectional study of 5,719 participants from the National Health and Nutrition Examination Survey (NHANES) 2015-2020.",PMID: 42255055,high,pending,
dataset-0003,Medicare,CMS,health claims,particulate matter,United States,not specified,public or controlled; verify source,Low-Level Airborne Particulate Matter and Risk of Hypertension Hospitalization in Older U.S. Adults.,Environmental Protection Agency annual standard of 9 μg/m and the risk of hypertension-related hospitalization among Medicare beneficiaries aged ≥65 years across the contiguous United States from 2017 to 2022 using a causal inference approach.,PMID: 41984014,high,pending,
dataset-0004,Daymet,NASA/ORNL,weather and climate gridded data,heat; temperature,not specified,not specified,public or controlled; verify source,Heat and hearts: An exposure-anchored computational phenotyping framework for assessing cardiovascular vulnerability during extreme heat.,METHODS: We assembled a loyalty cohort of adult patients from a large Chicago-based health system (2017-2023) and linked all encounters to Daymet daily temperature data for acute heat exposure at a 1 km resolution.,PMID: 41875960,high,pending,
dataset-0005,Sentinel,ESA,satellite remote sensing,PM2.5; particulate matter; noise,not specified,not specified,public or controlled; verify source,The impact of environmental pollution and climate change on hypertension: a position paper by the European Society of Hypertension (ESH) Working Group on Environment in Hypertension.,"Hypertension, the leading global cause of mortality, is increasingly recognized as a sentinel marker of environmental damage.",PMID: 41861066,high,pending,
dataset-0006,Medicare,CMS,health claims,heat; temperature; green space,not specified,not specified,public or controlled; verify source,Heat waves and annual mortality among older adults (aged ≥65 years) in the USA.,"METHODS: We conducted a cohort study using an open cohort of 73 769 163 Medicare beneficiaries (aged ≥65 years) residing in 27 926 ZIP codes across the contiguous USA from 2000-18, with 668 448 618 person-years of follow-up.",PMID: 41825471,high,pending,
dataset-0007,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA,not specified,not specified,public or controlled; verify source,"Effects of gestational exposure to individual and mixed PFASs on maternal liver function: evidence from the Wuxi Birth Cohort, animal studies, and toxicogenomic analyses.",Independent validation was performed using National Health and Nutrition Examination Survey (NHANES) data.,PMID: 41819631,high,pending,
dataset-0008,Medicare,CMS,health claims,PM2.5; particulate matter; wildfire smoke,United States,not specified,public or controlled; verify source,Impact of Long-Term Cumulative Exposure to Wildfire Smoke PM on Cardiovascular Hospital Admissions Among Older Adults in the United States: A Population-Based Cohort Study. 2.5,Medicare beneficiaries and to assess potential effect modification by sociodemographic factors.,PMID: 41706074,high,pending,
dataset-0009,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Single versus mixed perfluorinated compound exposures and cardiovascular disease risk: mechanistic insights from cross-sectional data and molecular interactions.,"TITLE: Single versus mixed perfluorinated compound exposures and cardiovascular disease risk: mechanistic insights from cross-sectional data and molecular interactions This study utilized National Health and Nutrition Examination Survey (NHANES) data to examine associations between perfluoroalkyl substances (PFAS) exposure and cardiovascular disease (CVD) risk, addressing controversial evidence on their mixed effects.",PMID: 41654648,high,pending,
dataset-0010,Medicare,CMS,health claims,PM2.5; particulate matter; wildfire smoke,not specified,not specified,public or controlled; verify source,Long-term exposure to wildfire smoke particulate matter and incident stroke: a US nationwide study.,METHODS: A national open cohort study was conducted among Medicare Fee-for-Service beneficiaries aged ≥65 years from 2007 to 2018.,PMID: 41587749,high,pending,
