cluster_id,theme,article_count,main_titles,cluster_method
1,heat/temperature + cardiovascular,10,"Climate-Smart Health Care: Role of the Family Physician. | Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review. | The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia. | Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA. | Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.",agglomerative_cosine
2,particulate matter + pregnancy,10,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats. | Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes. | Household incense burning and small for gestational age risk in newborn infants. | Maternal exposure to particulate matter during pregnancy and offspring liver function. | A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,agglomerative_cosine
3,particulate matter + cardiovascular,7,"Air pollution and cardiovascular disease: A review of current scientific data. | Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation. | Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5 | Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China. | Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5",agglomerative_cosine
4,PFAS + pregnancy,6,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy. | Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort. | Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort. | Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment. | Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,agglomerative_cosine
5,PFAS + cardiovascular,4,"Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling. | Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation. | Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics. | Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.",agglomerative_cosine
6,heat/temperature + pregnancy,4,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors. | Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina. | Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study. | Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial.,agglomerative_cosine
7,particulate matter + asthma,4,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia. | Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review. | Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City. | Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review.",agglomerative_cosine
8,air pollution + cardiovascular,3,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions. | Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5 | Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study.,agglomerative_cosine
9,heat/temperature + asthma,3,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy. | Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study. | Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,agglomerative_cosine
10,PM2.5 + cardiovascular,3,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5 | Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index. | Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,agglomerative_cosine
11,particulate matter + heart disease,2,"[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas]. | Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",agglomerative_cosine
12,heat/temperature + mortality,2,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China. | Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.",agglomerative_cosine
13,Mixed environmental health topic,2,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health. | Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,agglomerative_cosine
14,particulate matter + oxidative stress,2,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment]. | Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,agglomerative_cosine
15,PM2.5,1,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,agglomerative_cosine
16,PM2.5 + immune,1,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,agglomerative_cosine
17,PFAS + birth weight,1,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,agglomerative_cosine
18,nitrogen dioxide (NO2) + cardiovascular,1,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,agglomerative_cosine
19,nitrogen dioxide (NO2) + asthma,1,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,agglomerative_cosine
20,air pollution + asthma,1,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,agglomerative_cosine
21,heat/temperature,1,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",agglomerative_cosine
22,air pollution,1,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022.",agglomerative_cosine
23,nitrogen dioxide (NO2) + birth weight,1,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,agglomerative_cosine
