cluster_id,theme,article_count,main_titles,cluster_method
1,particulate matter + cardiovascular,1236,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform. | Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats. | Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model. | Household incense burning and small for gestational age risk in newborn infants. | [Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,hash_fallback
2,air pollution + cardiovascular,1183,"Climate-Smart Health Care: Role of the Family Physician. | Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions. | Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia. | Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review. | Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.",hash_fallback
3,heat/temperature + cardiovascular,962,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy. | [Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas]. | Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review. | Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city. | Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,hash_fallback
4,nitrogen dioxide (NO2) + cardiovascular,826,"Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes. | Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis. | Air pollution and cardiovascular disease: A review of current scientific data. | A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women. | Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",hash_fallback
5,PFAS + pregnancy,727,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling. | A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape. | Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy. | Prenatal PFAS Exposure and Early Childhood Sleep Quality in the ECHO Cohort. | In Utero Per- and Polyfluoroalkyl Substances (PFAS) Exposure and Changes in Infant T Helper Cell Development among UPSIDE-ECHO Cohort Participants.,hash_fallback
6,black carbon + cardiovascular,332,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina. | Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index. | Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort. | Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study. | Association of atmospheric oxidants and fine particulates with polycystic ovary syndrome and the reproductive trajectory: Protective role of residential greenness.,hash_fallback
7,ozone (O3) + cardiovascular,172,"Heart failure at the crossroads of climate change and environmental health: emerging risks, mechanistic insights, and future directions. | Predicting asthma prevalence across US communities by integrating social vulnerability and environmental risk with machine learning. | Indoor HEPA Filtration Mitigates Adverse Cardiorespiratory Effects of Ozone Reaction Products. | The effect of Ambient heat exposure early in pregnancy on the frequency of congenital heart defects: A systematic review and meta-analysis. | Synergistic Effects of Maternal PM and Ozone Co-exposure on Gestational Diabetes Mellitus: A Metabolomic Mechanistic Insight. 2.5",hash_fallback
8,green space/greenness + asthma,140,"Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City. | Genetic and environmental risk factors of asthma: a narrative review. | Differences in built environmental exposures between three million older adults with and without cardiovascular diseases: a nationwide cross-sectional study in the Netherlands. | Interactive effects of green-space exposure and air pollution on cardiovascular disease risk: a study based on the CHARLS and CLHLS databases. | Short-term exposure to ambient air pollution and emergency ambulance dispatches for precipitous labor: a time-series study in Guangzhou, China.",hash_fallback
9,lead + cardiovascular,139,Sex-specific associations between long-term exposure to ambient air pollution and the cardiac conduction system - a longitudinal analysis of the KORA cohort. | Toxicological Effects and Health Impacts of Per- and Polyfluoroalkyl Substances (PFAS) in Humans. | Chemical exposome patterns in mothers and children across urbanisation levels in five European birth cohorts. | Associations of prenatal fine particulate matter mixtures with neurodevelopmental outcomes in early childhood: component- and source-specific insights. | Association of prenatal exposure to criteria air pollutants and traffic-related air toxics with adverse birth outcomes: A population-based cohort study in California (1990-2021).,hash_fallback
10,noise + cardiovascular,103,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health. | Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5 | Sex-Specific Cardiovascular Strain During Heat Acclimation in Tactical Athletes. | Air Pollution and Cardiovascular Health: Turning Evidence Into Action. | Data-driven causal structure discovery to generate causal hypotheses and strengthen causal inference in exposome studies.,hash_fallback
11,PM2.5 + cardiovascular,102,"Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5 | Assessing the Evidence for Differential Health Effects of Wildfire Smoke Across Fires and Populations: A Critical Review of Recent Studies. | Metropolitan air pollution and the upper and lower airway: chronic rhinosinusitis and asthma outpatient burden. | Exploring Metal Mixtures Exposure and Cardiovascular Risk Factors in Miami Dade. | Association between long-term exposure to artificial light at night and air pollution, and cardiovascular diseases in middle-aged and older adults.",hash_fallback
12,mercury + cardiovascular,84,"Occupational and Environment-Related Cardiovascular Disease: A Comprehensive Review of the Literature. | PM Composition Exposure and Cardiovascular Disease: A Multicohort Study Integrating Disease Incidence and Biomarkers. 2.5 | Airborne Ultrafine Particles: Real-life Exposure Patterns, Epidemiological Evidence and Regulatory Responses in Switzerland and Beyond. | Ultrafine particles exposure and early subclinical cardiovascular effects from shipping and port activities. | Ambient PM and O and their combined effects on the onset of acute cardiovascular events: a time-stratified case-crossover study in Jining, China (2015-2023). 2.5 3",hash_fallback
13,PM10 + cardiovascular,39,"Hourly Exposure to Ambient Air Pollutants and Risk of Acute Aortic Dissection: Evidence From 162 Chinese Cities. | Short-term associations between ambient PM, PM, and PM and hospital admissions, length of hospital stays, and hospital expenses for patients with cardiovascular diseases in rural areas of Fuyang, East China. 1 2.5 10 | Interplay between gender and pollution on the prognosis of resuscitated out-of-hospital cardiac arrest. | Causal Associations of Environmental Pollution and Cardiovascular Disease: A Two-Sample Mendelian Randomization Study. | [Short-term effects of PM10 on cause-specific mortality and the role of long-term environmental pressures in the industrial areas of Brindisi and Civitavecchia].",hash_fallback
14,arsenic + cardiovascular,28,"ToxiTaRGET: a multi-omics database for toxicant-responsive molecular targets. | Chemical mixtures and birth weight: comparison of multipollutant models in the Maternal-Infant Research on Environmental Chemicals (MIREC) study. | Arsenic, cadmium, lead, mercury, and PFAS exposure during pregnancy or lactation and respective concentrations in human milk: Systematic review. | Pseudohypoxia induced by chemical pollutants: Biochemical evidence of environmental vulnerability. | ToxiTaRGET: a multi-omics resource for toxicant-responsive molecular targets.",hash_fallback
