article_id,title,cluster_id,x,y,priority_score,exposures,outcomes
PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,15,,,0.3178,PM2.5; ozone (O3),
PMID: 42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,16,,,0.3001,PM2.5; particulate matter,immune
PMID: 42607263,Climate-Smart Health Care: Role of the Family Physician.,1,,,0.2253,heat/temperature; air pollution,cardiovascular; mortality; respiratory
PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions.,8,,,0.2775,air pollution; particulate matter,cardiovascular; heart disease; respiratory
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,5,,,0.3722,PFAS; PFOS,cardiovascular
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,17,,,0.4523,PFAS; phthalate,birth weight
PMID: 42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,4,,,0.3338,PFAS; PFOA; PFOS,immune; pregnancy
PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy.,9,,,0.2793,PM2.5; heat/temperature; particulate matter,asthma
PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas].,11,,,0.256,PM2.5; heat/temperature; particulate matter,heart disease; mortality
PMID: 42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort.,4,,,0.5556,PFAS; PFOA; PFOS,neurodevelopment; pregnancy
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,10,,,0.3146,PM2.5,cardiovascular; hypertension
