id,dataset_title,provider,environmental_variable,spatial_resolution,temporal_resolution,geographic_extent,file_format,api_available,update_frequency,source_url,source_title,confidence,review_status,reviewer_notes
geo-0001,Daymet,NASA/ORNL,gridded weather,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Heat and hearts: An exposure-anchored computational phenotyping framework for assessing cardiovascular vulnerability during extreme heat.,high,pending,
geo-0002,Landsat,USGS/NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"Prenatal greenness, air pollution, and birthweight: Assessing sensitive windows of exposure and sub-populations in a multi-exposure setting.",high,pending,
geo-0003,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Association between prenatal ambient particulate matter and childhood asthma is modified by community safety and child sex.,high,pending,
geo-0004,Daymet,NASA/ORNL,gridded weather,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Long-term exposure to summer heat and mortality in the southeastern U.S.: a prospective analysis in the Southern Community Cohort Study.,high,pending,
geo-0005,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Air pollution and respiratory health risks in Jharkhand: a remote sensing and statistical approach.,high,pending,
geo-0006,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,The modifying role of residential greenness on the association between heat waves and adverse birth outcomes: Results from the ELEFANT project.,high,pending,
geo-0007,Daymet,NASA/ORNL,gridded weather,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"Low-level PM 2.5 Exposure, Cardiovascular and Nonaccidental Mortality, and Related Health Disparities in 12 US States.",high,pending,
geo-0008,NOAA,NOAA,weather/climate/ocean data,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"Exploring relationships between smoke exposure, housing characteristics, and preterm birth in California.",high,pending,
geo-0009,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Air pollution associated with cardiopulmonary disease and mortality among participants with preserved ratio impaired spirometry.,high,pending,
geo-0010,NOAA,NOAA,weather/climate/ocean data,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,The Camp fire and perinatal health: an example of the generalized synthetic control method to identify susceptible windows of exposure.,high,pending,
geo-0011,NOAA,NOAA,weather/climate/ocean data,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",global,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Effect of non-optimal ambient temperature on preterm birth stratified by social positioning in Nepal: A space-time-stratified case-crossover study.,high,pending,
geo-0012,Daymet,NASA/ORNL,gridded weather,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Preterm and Early-Term Delivery After Heat Waves in 50 US Metropolitan Areas.,high,pending,
geo-0013,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Health effects of exposure to urban ambient particulate matter: A spatial-statistical study on 3rd-trimester pregnant women.,high,pending,
geo-0014,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"Association of residential greenness, air pollution with adverse birth outcomes: Results from 61,762 mother‑neonatal pairs in project ELEFANT (2011-2021).",high,pending,
geo-0015,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,DNA methylation profiles reveal sex-specific associations between gestational exposure to ambient air pollution and placenta cell-type composition in the PRISM cohort study.,high,pending,
geo-0016,NOAA,NOAA,weather/climate/ocean data,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Neighborhood violence and socioeconomic deprivation influence associations between acute air pollution and temperature on childhood asthma in New York city.,high,pending,
geo-0017,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"Cardiovascular, respiratory and all-cause (natural) health endpoint estimation using a spatial approach in Malaysia.",high,pending,
geo-0018,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Critical windows of susceptibility for the effects of prenatal exposure to heat and heat variability on gestational growth.,high,pending,
geo-0019,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",United States,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Prenatal exposure to PM and childhood cognition: Accounting for between-site heterogeneity in a pooled analysis of ECHO cohorts in the Northeastern United States. 2.5,high,pending,
geo-0020,Daymet,NASA/ORNL,gridded weather,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Acute association between heatwaves and stillbirth in six US states.,high,pending,
geo-0021,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Ambient PM exposure and salivary cortisol output during pregnancy in a multi-ethnic urban sample. 2.5,high,pending,
geo-0022,PRISM,PRISM Climate Group,gridded climate,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",global,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,Prenatal PM exposure and infant temperament at age 6 months: Sensitive windows and sex-specific associations. 2.5,high,pending,
geo-0023,MODIS,NASA,satellite environmental variable,"raster/grid, tract, county, or monitor-level; verify metadata","daily, monthly, annual, or source-defined",not specified,API/CSV/GeoJSON/raster; verify source,unknown,unknown,,"The Summer 2019-2020 Wildfires in East Coast Australia and Their Impacts on Air Quality and Health in New South Wales, Australia.",high,pending,
