id,evidence_type,population,comparator,predictor_or_exposure,health_outcome,study_design,effect_direction,effect_estimate,sample_size,population_size,study_period,data_source,recruitment_site,enrollment_site,study_site,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
clin-0001,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,RR:1.67,"15,361",not reported,2020,not specified,not specified,not specified,not specified,Poisson regression,Short-term PM and pre-existing cardiovascular conditions together increased pneumonia risk from July to December 2020.,PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions,medium,pending,
clin-0002,pharmacy education / simulation evaluation study,cohort participants,not specified,evaluator type: standardized patient evaluator vs pharmacist evaluator,not extracted,education / simulation evaluation study,agreement/disagreement comparison,not extracted,not reported,not reported,1987,not specified,not specified,not specified,not specified,not extracted,"We integrated transcriptomic screening, ensemble machine learning, molecular docking and 100-ns molecular dynamics, cross-species cardiac single-cell atlases with virtual knockout, and a time-stratified mouse exposure study (approximately 5 μg/kg/d for 4-8 weeks) to prioritize candidate molecular nodes associated with PFOS-related cardiac remodeling.",PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling,low,pending,
clin-0003,clinical trial / intervention study,pregnant women/infants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,linear mixed-effects models,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,low,pending,
clin-0004,clinical / observational study,adult patients with asthma and followed them for at least 6 months according to the Global Initiative for Asthma (GINA) strategy,seasonal/time-of-year patterns,season / time of year; temperature (seasonal context); humidity (seasonal context),asthma,observational study,positive association,"A 1% increase in the 1-day RH difference and a 1-μg/m3 increase in the 7-day PM2.5 difference were associated with 1.054-fold and 1.052-fold higher odds of step 4 treatment, respectively.",288 patients,288 patients,not specified,not specified,not specified,not specified,not specified,logistic regression,"A 1% increase in the 1-day RH difference and a 1-μg/m3 increase in the 7-day PM2.5 difference were associated with 1.054-fold and 1.052-fold higher odds of step 4 treatment, respectively.",PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy,high,pending,
clin-0005,clinical epidemiology / health equity cohort,"2,836 mother-child pairs from mother-child cohorts",non-Hispanic White population,non-Hispanic White comparator group,neurodevelopment,cohort study,null / no clear association,not extracted,"2,836 mother-child pairs",not reported,not specified,not specified,not specified,not specified,in the Environmental influences on Child Health Outcomes (ECHO) Cohort,linear mixed-effects models,"Linear mixed-effects models with random intercepts estimated associations between log-transformed PFAS concentrations and CBCL scores, with covariate adjustment.",PMID: 42595033,Prenatal PFAS Exposure and Early Childhood Sleep Quality in the ECHO Cohort,medium,pending,
clin-0006,cross-sectional clinical / observational study,adults (40-60 years) from the Awi-Gen study,not specified,exposure and MetS (and its component conditions) in a Ghanaian adult cohort.,cardiovascular; hypertension,cross-sectional analysis,null / no clear association,"was associated with 6% higher odds of hypertension (OR: 1.06, 95% CI: 1.02-1.11).",1833 adults,1833 adults,2007-2015,not specified,not specified,not specified,not specified,adjustment for covariates,"was associated with 6% higher odds of hypertension (OR: 1.06, 95% CI: 1.02-1.11).",PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,high,pending,
clin-0007,real-world prospective observational treatment study,pregnant women/infants/children,baseline / change from baseline; cohort B limited,real-world treatment exposure,kidney metabolic markers,real-world prospective observational treatment study,not reported in pasted abstract,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,,PMID: 42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review,medium,pending,
clin-0008,clinical trial / intervention study,pregnant women/infants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,1223 cycles,not reported,2013-2018,not specified,not specified,not specified,not specified,linear mixed models,"In multivariable models, we observed a lower probability of pregnancy per 5 ppb increase in O and NO across the 74-day spermatogenesis window (relative risk [RR] 0.71, 95% confidence interval [CI] 0.55, 0.93; RR 0.73, 95% CI 0.50, 1.05, respectively), with associations noted during mitosis and meiosis.",PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes,low,pending,
clin-0009,cross-sectional clinical / observational study,pregnant women/infants,not specified,primary study factor described in the abstract,clinical / health outcome described in the abstract,cross-sectional analysis,positive association,"Indoor thermal perception was positively associated with perceived vulnerability, while the highest self-reported outdoor temperature experienced was linked to indoor thermal perception.",474 women,474 women,1982,not specified,not specified,not specified,not specified,not extracted,We used confirmatory factor analysis and structural equation modeling to estimate integrated path models for 10 distinct heat-protective behaviors based on the PMT using a cross-sectional sample of 474 pregnant women in Germany,PMID: 42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors,medium,pending,
clin-0010,clinical / observational time-series study,study participants,not specified,primary study factor described in the abstract,asthma; respiratory,retrospective observational study,positive association,"Daily mean (x̄) PM level exceeding Malaysian Ambient Air Quality Standard (MAAQS) threshold was associated with a 21.3% (95% confidence interval (CI) = 2.2, 44.0) increase when levels reached 200 μg/m and 34.0% (95% CI = 4.7, 71.7) increase when levels reached 300 μg/m in asthma emergency visits.",not reported,not reported,2014-2017,not specified,not specified,not specified,not specified,not extracted,"Daily mean (x̄) PM level exceeding Malaysian Ambient Air Quality Standard (MAAQS) threshold was associated with a 21.3% (95% confidence interval (CI) = 2.2, 44.0) increase when levels reached 200 μg/m and 34.0% (95% CI = 4.7, 71.7) increase when levels reached 300 μg/m in asthma emergency visits.",PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia",medium,pending,
clin-0011,longitudinal clinical / observational study,pregnant women/infants/children,not specified,We seek to model longitudinal changes in the frequency of functionally distinct CD4+ T-cell subpopulations from birth through 12 months and their association with in-utero PFAS exposure..,immune,longitudinal observational study,positive association,"A log-unit increase in PFOS was associated with lower Tfh [0.17% (95%CI: -0.30, -0.40)] and greater Th2 [0.27% (95%CI: 0.18, 0.35)] cell percentages at 12 months.",200,200,2015-2019,not specified,not specified,not specified,not specified,"adjustment for parity, infant sex, and pre-pregnancy body mass index","A log-unit increase in PFOS was associated with lower Tfh [0.17% (95%CI: -0.30, -0.40)] and greater Th2 [0.27% (95%CI: 0.18, 0.35)] cell percentages at 12 months.",PMID: 42564733,In Utero Per- and Polyfluoroalkyl Substances (PFAS) Exposure and Changes in Infant T Helper Cell Development among UPSIDE-ECHO Cohort Participants,high,pending,
clin-0012,clinical epidemiology cohort,"People in Australia accessing public health services between 2014 and 2020 for care related to cardiovascular, respiratory and mental health conditions.",not specified,clinical predictors / cohort factors,cardiovascular; respiratory,cross-sectional study,positive association,RR of 1.033,not reported,not reported,2014-2020,not specified,not specified,not specified,not specified,not extracted,"Heat was most strongly associated with ED presentations, with a RR of 1.033 (95% CI, 1.023-1.043; p < 0.001) per degree temperature change for respiratory conditions and 1.023 (95% CI, 1.016-1.031; p < 0.001) for mental health conditions.",PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia,high,pending,
clin-0013,clinical trial / intervention study,children,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2013-2025,not specified,not specified,not specified,not specified,not extracted,"Findings indicated that PM concentrations in major cities such as Dhaka, Chattogram, and Khulna exceed WHO guidelines by 8 to 18 times, with consistent hotspots linked to industrial zones, brick kilns, transportation, and seasonal biomass burning.",PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review,low,pending,
clin-0014,clinical / observational study,pregnant women/infants,not specified,"household incense burning during pregnancy was associated with increased risk of delivering an SGA infant, particularly among term births",birth weight/fetal growth; preterm birth,cohort study,positive association,"Among term infants, household incense burning was significantly associated with SGA, with aORs of 1.16 (95%CI: 1.00-1.33) for occasional exposure and 1.25 (95%CI: 1.10-1.41) for daily exposure, demonstrating a dose-response relationship.","18,666 mother-infant pairs","18,666 mother-infant pairs",not specified,not specified,not specified,the Taiwan Birth Cohort Study,not specified,regression models,"We analyzed data from 18,666 mother-infant pairs enrolled in the Taiwan Birth Cohort Study with follow-up at 6 months postpartum.",PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants,high,pending,
clin-0015,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,7092 adults,not reported,2013-2022,a North Carolina-based cohort,not specified,not specified,a North Carolina-based cohort,quantile g-computation,This cross-sectional study included 7092 adults from a North Carolina-based cohort (2013-2022).,PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability,low,pending,
clin-0016,clinical epidemiology cohort,children,not specified,health care utilization,morbidity,retrospective cohort study,positive association,not extracted,936 children,not reported,2022-2025,medical / chart records,not specified,not specified,not specified,logistic regression,"Among the 936 children, 47.4% had asthma, 36.5% had pneumonia, and 16.0% had both conditions.",PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,medium,pending,
clin-0017,clinical / observational time-series study,daily CVD mortality records,"seasonal/time-of-year patterns, evaluated separately by sex",temperature (seasonal context); humidity (seasonal context),cardiovascular disease mortality,time-series epidemiologic study,null / no clear association,"At lag0, the RRs were 1.014 (95% CI: 1.008-1.020) for PM, 1.009 (95% CI: 1.006-1.013) for PM, and 1.018 (95% CI: 1.011-1.026) for NO2, while SO showed its largest estimate at lag1 [RR = 1.044 (95% CI: 1.018-1.069)].","87,913 deaths","87,913 deaths",2014-2024,not specified,not specified,not specified,not specified,generalized additive quasi-Poisson models,"At lag0, the RRs were 1.014 (95% CI: 1.008-1.020) for PM, 1.009 (95% CI: 1.006-1.013) for PM, and 1.018 (95% CI: 1.011-1.026) for NO2, while SO showed its largest estimate at lag1 [RR = 1.044 (95% CI: 1.018-1.069)].",PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China",high,pending,
