id,evidence_type,review_type,research_area,technologies_methods,application_domains,key_tradeoffs,challenges,future_directions,study_design,data_source,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
review-0001,review / perspective / research synthesis,narrative review,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"TITLE: Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review Rising global temperatures and more frequent heat waves pose a growing threat to public health, particularly among older adults.",PMID: 42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,medium,pending,
review-0002,review / perspective / research synthesis,perspective,[The cardiovascular exposome: areas of action for prevention and practical cardiology].,not specified in abstract,environment; clinical,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,This review summarizes the current evidence on the impact of the exposome on cardiovascular health and derives recommendations for cardiologists from it.,PMID: 42295332,[The cardiovascular exposome: areas of action for prevention and practical cardiology].,medium,pending,
review-0003,review / perspective / research synthesis,narrative review / research synthesis,The Clean Transit Paradox: Elevated Particle Exposure and Health Impacts in Subway Microenvironments.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This comprehensive Review synthesizes global research on the characteristics, health risks, and control strategies of subway PM.",PMID: 42165597,The Clean Transit Paradox: Elevated Particle Exposure and Health Impacts in Subway Microenvironments.,medium,pending,
review-0004,review / perspective / research synthesis,narrative review / research synthesis,"Oxidative Stress-Related Metabolomic Alterations in Pregnancy: Evidence from Exposure to Air Pollution, Metals/Metalloid, and Tobacco Smoke.",not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review summarizes epidemiological studies that have investigated biochemical responses of the prenatal exposure to metals, air pollution, and tobacco smoke and e-cigarette vapor in maternal-placental-fetal compartments using a metabolomic approach.",PMID: 41462643,"Oxidative Stress-Related Metabolomic Alterations in Pregnancy: Evidence from Exposure to Air Pollution, Metals/Metalloid, and Tobacco Smoke.",medium,pending,
review-0005,review / perspective / research synthesis,systematic review,Small extracellular vesicles: connecting early life exposure outcomes to air pollution during pregnancy to early childhood health.,exert systemic effects,environment,not specified in abstract,not specified in abstract,not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,"This review synthesizes current evidence on the role of small EVs (sEVs) in mediating the biological impacts of prenatal air pollution exposure, with a focus on their molecular profile, including the presence of signaling molecules like miRNAs and proteins, and their implications for childhood health outcomes.",PMID: 41316269,Small extracellular vesicles: connecting early life exposure outcomes to air pollution during pregnancy to early childhood health.,high,pending,
review-0006,review / perspective / research synthesis,systematic review,"Climate change-related exposures, low birthweight, and preterm birth: Overview of reviews protocol.",not specified in abstract,not specified in abstract,"Each systematic review will be independently screened, and only English language reviews will be included, due to the study team's linguistic limitations.","Each systematic review will be independently screened, and only English language reviews will be included, due to the study team's linguistic limitations.",not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,"TITLE: Climate change-related exposures, low birthweight, and preterm birth: Overview of reviews protocol Anthropogenic climate change affects the health of people mostly negatively.",PMID: 40753755,"Climate change-related exposures, low birthweight, and preterm birth: Overview of reviews protocol.",medium,pending,
review-0007,review / perspective / research synthesis,narrative review / research synthesis,Cement Industry Pollution and Its Impact on the Environment and Population Health: A Review.,not specified in abstract,industry; environment,not specified in abstract,"It also highlights the social challenges faced by communities, underscoring the urgent need for stricter environmental policies and the adoption of greener technologies to mitigate the adverse effects of cement production on both the environment and human health",not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"TITLE: Cement Industry Pollution and Its Impact on the Environment and Population Health: A Review The cement industry, a foundation of global infrastructure development, significantly contributes to environmental pollution.",PMID: 40711032,Cement Industry Pollution and Its Impact on the Environment and Population Health: A Review.,medium,pending,
review-0008,review / perspective / research synthesis,systematic review,Evaluating the Cost-Effectiveness of Air Pollution Mitigation Strategies: A Systematic Review.,not specified in abstract,environment; environmental health,not specified in abstract,not specified in abstract,not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,TITLE: Evaluating the Cost-Effectiveness of Air Pollution Mitigation Strategies: A Systematic Review Air pollution is the world's greatest environmental health risk.,PMID: 40566352,Evaluating the Cost-Effectiveness of Air Pollution Mitigation Strategies: A Systematic Review.,medium,pending,
review-0009,review / perspective / research synthesis,narrative review / research synthesis,Ferroptosis induced by environmental pollutants and its health implications.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"Furthermore, as is the case with all rapidly evolving research areas, there are numerous unanswered questions and challenges pertaining to environmental pollutant-induced ferroptosis, which we discuss in this review in an attempt to provide some directions and clues for future research in this field",PMID: 39856053,Ferroptosis induced by environmental pollutants and its health implications.,medium,pending,
review-0010,review / perspective / research synthesis,narrative review / research synthesis,Multiphase Radical Chemical Processes Induced by Air Pollutants and the Associated Health Effects.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review aims to systematically summarize ROS generation mechanisms in the ELF and measurement techniques of oxidative potential (OP), taking the kinetic reactions of ROS cycling in the ELF as an example, and discusses the general health implications of ROS in respiratory, cardiovascular, and central nervous systems.",PMID: 39839244,Multiphase Radical Chemical Processes Induced by Air Pollutants and the Associated Health Effects.,medium,pending,
