id,exposure_name,exposure_type,health_outcome,population,study_design,effect_direction,effect_estimate,sample_size,population_size,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
assoc-0001,ozone (O3),single pollutant,cardiovascular,not specified,not specified,unspecified,not extracted,not reported,not reported,not extracted,"We tested the hypothesis by using two complementary approaches, including a panel study in healthy adults and a meta-regression analysis of O3 on cardiorespiratory effects reported in the literature.",PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis,medium,pending,
assoc-0002,ozone (O3),single pollutant,respiratory,not specified,not specified,unspecified,not extracted,not reported,not reported,not extracted,"We tested the hypothesis by using two complementary approaches, including a panel study in healthy adults and a meta-regression analysis of O3 on cardiorespiratory effects reported in the literature.",PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis,medium,pending,
assoc-0003,PM2.5,particle mixture,immune,not specified,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform Fine particulate matter (PM2.5) has been associated with adverse central nervous system (CNS) outcomes, yet it remains unclear how PM2.5 constituents penetrate the blood-brain barrier (BBB) and which specific components enter the CNS to remodel the immune microenvironment.",PMID: 42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform,low,pending,
assoc-0004,air pollution,mixture,cardiovascular,not specified,not specified,positive association,not extracted,"15,361",not reported,Poisson regression,"We found that pre-existing cardiovascular conditions increase vulnerability to short-term air pollution, amplifying COVID-19 pneumonia risk during hospitalization.",PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions,medium,pending,
assoc-0005,PFOS,single chemical,cardiovascular,not specified,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"We integrated transcriptomic screening, ensemble machine learning, molecular docking and 100-ns molecular dynamics, cross-species cardiac single-cell atlases with virtual knockout, and a time-stratified mouse exposure study (approximately 5 μg/kg/d for 4-8 weeks) to prioritize candidate molecular nodes associated with PFOS-related cardiac remodeling.",PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling,medium,pending,
assoc-0006,phthalate,chemical class,birth weight,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,linear mixed-effects models,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,medium,pending,
assoc-0007,phthalate,chemical class,birth weight/fetal growth,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,linear mixed-effects models,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,medium,pending,
assoc-0008,PFAS,chemical class,birth weight,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,linear mixed-effects models,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,medium,pending,
assoc-0009,PFAS,chemical class,birth weight/fetal growth,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,linear mixed-effects models,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,medium,pending,
assoc-0010,PFAS,chemical class,immune,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Using a placental-immune cell co-culture model, we examined bidirectional interactions and their respective effects on functional endpoints in both cellular compartments and further investigated how exposure to PFAS may interfere in the bidirectional communication.",PMID: 42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy,medium,pending,
assoc-0011,PM2.5,particle mixture,asthma,not specified,not specified,unspecified,not extracted,288 patients,not reported,logistic regression,We consecutively recruited 288 newly diagnosed adult patients with asthma and followed them for at least 6 months according to the Global Initiative for Asthma (GINA) strategy.,PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy,medium,pending,
assoc-0012,heat/temperature,non-chemical stressor,asthma,not specified,not specified,unspecified,not extracted,288 patients,not reported,logistic regression,We consecutively recruited 288 newly diagnosed adult patients with asthma and followed them for at least 6 months according to the Global Initiative for Asthma (GINA) strategy.,PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy,medium,pending,
assoc-0013,PM2.5,particle mixture,cardiovascular,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,..,PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas],high,pending,
assoc-0014,PM2.5,particle mixture,mortality,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,..,PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas],high,pending,
assoc-0015,heat/temperature,non-chemical stressor,cardiovascular,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,..,PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas],high,pending,
assoc-0016,heat/temperature,non-chemical stressor,mortality,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,..,PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas],high,pending,
assoc-0017,PFAS,chemical class,neurodevelopment,2836 mother-child pairs from mother-child cohorts,cohort study,unspecified,not extracted,2836 mother-child pairs,not reported,linear mixed-effects models,We examined associations between prenatal exposure to individual PFAS and early childhood sleep quality.,PMID: 42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort,medium,pending,
assoc-0018,PM2.5,particle mixture,hypertension,cohort participants,cross-sectional study,null / no clear association,not extracted,1833 adults,not reported,logistic regression,"A positive association was observed between PM2.5 and hypertension, while no association was found for MetS overall or its component conditions.",PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,medium,pending,
assoc-0019,particulate matter,particle mixture,birth weight/fetal growth,pregnant women/infants,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"Inhaling airborne pollutants, like particulate matter, is associated with pregnancy complications and fetal developmental pathologies, including fetal growth restriction (FGR).",PMID: 42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats,low,pending,
assoc-0020,nitrogen dioxide (NO2),single pollutant,hypertension,not applicable — review synthesizes evidence across studies/populations,systematic review / meta-analysis,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"Meta-analysis was limited to PM, PM, and NO because cohort data for other pollutants were limited, and exposure increments and hypertension definitions varied across studies.",PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis,high,pending,
assoc-0021,particulate matter,particle mixture,hypertension,not applicable — review synthesizes evidence across studies/populations,systematic review / meta-analysis,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"Meta-analysis was limited to PM, PM, and NO because cohort data for other pollutants were limited, and exposure increments and hypertension definitions varied across studies.",PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis,high,pending,
assoc-0022,air pollution,mixture,asthma,not specified,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,not extracted,We used retrospective data over four years (1 January 2014 to 13 April 2017) comprising clinical records from a main hospital in Klang Valley and environmental data (air pollutants and meteorological data) obtained from nearby stations.,PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia",medium,pending,
assoc-0023,air pollution,mixture,respiratory,not specified,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,not extracted,We used retrospective data over four years (1 January 2014 to 13 April 2017) comprising clinical records from a main hospital in Klang Valley and environmental data (air pollutants and meteorological data) obtained from nearby stations.,PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia",medium,pending,
assoc-0024,PFAS,chemical class,hypertension,pregnant women in the Puerto Rico PROTECT cohort,observational pregnancy cohort study,positive association,OR = 2.14,548,not reported,multivariable linear regression; adjusted logistic regression; linear mixed models; generalized additive models,The exposure mixture (which included all six PFAS) was associated with higher odds of hypertension (OR = 2.14; 95% CI: 1.32-3.46) and to a lesser extent high MAP (OR = 1.50; 95% CI: 0.96-2.36) at 24-28 weeks and high PP at 16-20 weeks (OR = 1.54; 95% CI: 0.82-2.92).,PMID: 42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort,high,pending,
assoc-0025,heat/temperature,non-chemical stressor,respiratory,not specified,cross-sectional study,positive association,RR of 1.033,not reported,not reported,not extracted,"Heat was most strongly associated with ED presentations, with a RR of 1.033 (95% CI, 1.023-1.043; p < 0.001) per degree temperature change for respiratory conditions and 1.023 (95% CI, 1.016-1.031; p < 0.001) for mental health conditions.",PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia,high,pending,
assoc-0026,air pollution,mixture,respiratory,general population / ambient-exposure evidence; occupationally exposed workers included in the evidence base,narrative review,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"The findings of the present review indicates that the urgent regulatory enforcement, enhanced air quality monitoring, and targeted public health interventions are essential to mitigate respiratory health risks and reduce the nationwide burden of air pollution in Bangladesh.",PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review,high,pending,
assoc-0027,particulate matter,particle mixture,birth weight/fetal growth,pregnant women/infants,cohort study,unspecified,not extracted,"18,666 mother-infant pairs",not reported,logistic regression,"We analyzed data from 18,666 mother-infant pairs enrolled in the Taiwan Birth Cohort Study with follow-up at 6 months postpartum.",PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants,medium,pending,
assoc-0028,particulate matter,particle mixture,preterm birth,pregnant women/infants,cohort study,unspecified,not extracted,"18,666 mother-infant pairs",not reported,logistic regression,"We analyzed data from 18,666 mother-infant pairs enrolled in the Taiwan Birth Cohort Study with follow-up at 6 months postpartum.",PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants,medium,pending,
assoc-0029,PFAS,chemical class,immune,pregnant women/infants/children,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Finally, we outline a conceptual framework for developmental hazard assessment, in which exposure-window characterization, congener-specific toxicokinetics, human-relevant models, multi-omics biomarkers, and PBPK/PBTK modeling are positioned as complementary components rather than as a fully operational assessment system",PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment,medium,pending,
assoc-0030,PFAS,chemical class,thyroid,pregnant women/infants/children,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Finally, we outline a conceptual framework for developmental hazard assessment, in which exposure-window characterization, congener-specific toxicokinetics, human-relevant models, multi-omics biomarkers, and PBPK/PBTK modeling are positioned as complementary components rather than as a fully operational assessment system",PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment,medium,pending,
assoc-0031,PFOA,single chemical,immune,pregnant women/infants/children,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Finally, we outline a conceptual framework for developmental hazard assessment, in which exposure-window characterization, congener-specific toxicokinetics, human-relevant models, multi-omics biomarkers, and PBPK/PBTK modeling are positioned as complementary components rather than as a fully operational assessment system",PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment,medium,pending,
assoc-0032,PFOA,single chemical,thyroid,pregnant women/infants/children,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Finally, we outline a conceptual framework for developmental hazard assessment, in which exposure-window characterization, congener-specific toxicokinetics, human-relevant models, multi-omics biomarkers, and PBPK/PBTK modeling are positioned as complementary components rather than as a fully operational assessment system",PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment,medium,pending,
assoc-0033,nitrogen dioxide (NO2),single pollutant,asthma,children,retrospective cohort study,unspecified,not extracted,936 children,not reported,logistic regression,"A retrospective cohort study was conducted using pediatric electronic medical records from Wuhu Hospital, Anhui Province, China, covering January 2022 to December 2025.",PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,medium,pending,
assoc-0034,nitrogen dioxide (NO2),single pollutant,respiratory,children,retrospective cohort study,unspecified,not extracted,936 children,not reported,logistic regression,"A retrospective cohort study was conducted using pediatric electronic medical records from Wuhu Hospital, Anhui Province, China, covering January 2022 to December 2025.",PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,medium,pending,
assoc-0035,heat/temperature,non-chemical stressor,asthma,children,retrospective cohort study,unspecified,not extracted,936 children,not reported,logistic regression,"A retrospective cohort study was conducted using pediatric electronic medical records from Wuhu Hospital, Anhui Province, China, covering January 2022 to December 2025.",PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,medium,pending,
