article_i,title_i,article_j,title_j,cosine_similarity,cosine_distance,note
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 39035709,Perfluorooctane Sulfonate Exposure Induces Cardiovascular Dysfunction in Female Rats: Role of Ovaries.,0.9671,0.0329,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 40144317,Association of Per- and Polyfluoroalkyl Substance Exposure with Coronary Stenosis and Prognosis in Acute Coronary Syndrome.,0.9088,0.0912,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 34081971,Early-life associations between per- and polyfluoroalkyl substances and serum lipids in a longitudinal birth cohort.,0.8887,0.1113,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 42020163,[Association between perfluoroalkyl substance exposure and adverse cardiovascular outcomes in adults].,0.8402,0.1598,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 40915483,Exposure to high levels of perfluoroalkyl substances through drinking water and risk of cardiovascular morbidity and mortality in a Swedish register-based study.,0.8176,0.1824,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 38043321,Associations of cord plasma per- and polyfluoroakyl substances (PFAS) with neonatal and child body composition and adiposity: The GUSTO study.,0.7695,0.2305,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 31726361,Exposures to chemical mixtures during pregnancy and neonatal outcomes: The HOME study.,0.7271,0.2729,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 33465343,Prenatal exposure to endocrine disrupting chemical mixtures and infant birth weight: A Bayesian analysis using kernel machine regression.,0.7077,0.2923,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 41110290,Transplacental transfer efficiency of environmental chemicals in association with gestational diabetes mellitus.,0.5955,0.4045,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 29078782,Gestational exposure to endocrine disrupting chemicals in relation to infant birth weight: a Bayesian analysis of the HOME Study.,0.5919,0.4081,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 42040082,Association of PM2.5 exposure with 10-year atherosclerotic cardiovascular disease risk: a mediation analysis of blood and urinary biomarkers.,0.7827,0.2173,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 35065296,Long-term exposure to fine particulate matter modifies the association between physical activity and hypertension incidence.,0.7764,0.2236,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 34968616,"The influences of ambient fine particulate matter constituents on plasma hormones, circulating TMAO levels and blood pressure: A panel study in China.",0.7629,0.2371,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 31067193,Long-Term Exposure to Fine Particulate Matter and Hypertension Incidence in China.,0.7458,0.2542,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 40295716,Potential influence of geomagnetic activity on blood pressure statistical fluctuations at mid-magnetic latitudes.,0.7451,0.2549,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42585209,Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city.,PMID: 35627660,Heatwave Mortality in Summer 2020 in England: An Observational Study.,0.9986,0.0014,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42585209,Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city.,PMID: 26247438,"Heat-related mortality projections for cardiovascular and respiratory disease under the changing climate in Beijing, China.",0.9982,0.0018,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42585209,Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city.,PMID: 41906158,"Exploring age and gender sensitivity to high-temperature days: impacts on respiratory, cardiovascular, and all-cause mortality in summer in Flanders.",0.9805,0.0195,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42585209,Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city.,PMID: 39805829,"Nonlinear exposure-response associations of daytime, nighttime, and day-night compound heatwaves with mortality amid climate change.",0.9798,0.0202,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42585209,Assessment of temperature on mortality burden and economic impacts in a basin-located mega-city.,PMID: 32062282,"Short-term effects of diurnal temperature range on hospital admission in Bangkok, Thailand.",0.9617,0.0383,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42575013,Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model.,PMID: 30086990,Ambient fine and coarse particles in Japan affect nasal and bronchial epithelial cells differently and elicit varying immune response.,0.9001,0.0999,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42575013,Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model.,PMID: 31520700,PM exposure and cold stress exacerbates asthma in mice by increasing histone acetylation in IL-4 gene promoter in CD4 T cells. 2.5 +,0.9,0.1,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42575013,Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model.,PMID: 36334668,Aerosolized aqueous dust extracts collected near a drying lake trigger acute neutrophilic pulmonary inflammation reminiscent of microbial innate immune ligands.,0.8674,0.1326,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42575013,Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model.,PMID: 32929274,A regulatory T cell Notch4-GDF15 axis licenses tissue inflammation in asthma.,0.867,0.133,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42575013,Time-dependent analysis of bronchus-associated lymphoid tissue formation and pulmonary inflammation induced by various particulate matter in asthmatic mice model.,PMID: 32411804,The Role and Potential Pathogenic Mechanism of Particulate Matter in Childhood Asthma: A Review and Perspective.,0.8606,0.1394,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 41936219,Men's exposure to ambient air pollution and in vitro fertilization outcomes among an infertility treatment population.,0.9406,0.0594,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 41875667,Ambient air pollution during pregnancy and offspring cerebral palsy.,0.9214,0.0786,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 40882396,"Associations of prenatal and postnatal exposure to air pollution with hand, foot, and mouth disease: Key pollutants and sensitive exposure windows.",0.9043,0.0957,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 41448419,Pre- and postnatal exposure to PM and NO and blood pressure in children: Results from the ECHO Cohort. 2.5 2,0.89,0.11,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 37862861,Air pollution and fecundability in a North American preconception cohort study.,0.8623,0.1377,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 39702915,The health effects of poor air quality.,0.9743,0.0257,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 27215888,Deployment-related Respiratory Issues.,0.974,0.026,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 36597757,Military deployment-related respiratory problems: an update.,0.9567,0.0433,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 34255259,Particulate matter (PM) and diseases: an autoregressive distributed lag (ARDL) technique. 2.5,0.9558,0.0442,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 29881545,Outdoor air pollution and respiratory health: a bibliometric analysis of publications in peer-reviewed journals (1900 - 2017).,0.9511,0.0489,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 35870077,Effect of particulate matter (PM and PM) on health indicators: climate change scenarios in a Brazilian metropolis. 2.5 10,0.8461,0.1539,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 39120949,Generalizability of Heat-related Health Risk Associations Observed in a Large Healthcare Claims Database of Patients with Commercial Health Insurance.,0.8418,0.1582,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 39467480,"Associations of heat with diseases and specific symptoms in Flanders, Belgium: An 8-year retrospective study of general practitioner registration data.",0.8338,0.1662,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 27649448,Airborne Fine Particles and Risk of Hospital Admissions for Understudied Populations: Effects by Urbanicity and Short-Term Cumulative Exposures in 708 U.S. Counties.,0.8189,0.1811,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 37715017,A review on potential approach for in silico toxicity analysis of respirable fraction of ambient particulate matter.,0.8106,0.1894,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 31592111,Indoor exposure to particulate matter and volatile organic compounds in dwellings and workplaces and respiratory health in French farmers.,0.9546,0.0454,sampled similarity only; full pairwise skipped for 6155 records
