rank,article_id,title,cluster_id,priority_score,priority_level,review_reason,exposures,outcomes,sample_size,population_size,statistical_methods
1,PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",5,0.6268,high,may conflict with cluster direction; contains chemical or chemical-class signal,PFAS,cardiovascular; hypertension; inflammation,"1,387 participants",not reported,linear mixed-effects models
2,PMID: 42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,4,0.6052,high,may conflict with cluster direction; contains chemical or chemical-class signal,PFAS; PFOA; PFOS,hypertension; pregnancy,548,not reported,multivariable linear regression; adjusted logistic regression; linear mixed models; generalized additive models
3,PMID: 42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort.,4,0.5556,high,may conflict with cluster direction; contains dataset/cohort/geospatial signal; contains chemical or chemical-class signal,PFAS; PFOA; PFOS,neurodevelopment; pregnancy,2836 mother-child pairs,not reported,linear mixed-effects models
4,PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,9,0.5453,medium,may conflict with cluster direction,heat/temperature,asthma,not reported,not reported,logistic regression
5,PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,2,0.5012,medium,may conflict with cluster direction,nitrogen dioxide (NO2); particulate matter,pregnancy; thyroid,not reported,not reported,not extracted
6,PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,6,0.4603,medium,may conflict with cluster direction,heat/temperature,pregnancy,195 individuals,not reported,not extracted
7,PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,17,0.4523,medium,novel compared with prior/cluster records; contains chemical or chemical-class signal,PFAS; phthalate,birth weight,not reported,not reported,linear mixed-effects models
8,PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium.,2,0.4186,medium,may conflict with cluster direction; contains dataset/cohort/geospatial signal,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,"8,035 mother-child pairs",not reported,logistic regression; quantile regression; meta-analysis
9,PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,4,0.4025,medium,novel compared with prior/cluster records; contains chemical or chemical-class signal,PFAS; PFOS,pregnancy; thyroid,911 women,not reported,linear regression; quantile regression; Bayesian kernel machine regression; quantile g-computation
10,PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review.,7,0.3808,medium,may conflict with cluster direction,nitrogen dioxide (NO2); particulate matter,asthma; inflammation; oxidative stress; respiratory,not reported,not reported,not extracted
