article_id,title,citation,publication_year,exposures,outcomes,datasets,geospatial_datasets,cohorts,study_designs,populations,effect_direction,sample_size,population_size,statistical_methods,knowledge_text_source,abstract_available,feature_count,record_index,cluster_id,priority_score,pca_x,pca_y,umap_x,umap_y,top_features
PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,PMID: 42623452,2026,PM2.5; ozone (O3),,,,,,adults,positive,not reported,not reported,not extracted,abstract_only,yes,66,1,15,0.3178,-0.0334,-0.5112,,,exposure:ozone_o3; exposure:pm2_5; population:adults
PMID: 42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,PMID: 42611483,2026,PM2.5; particulate matter,immune,,,,,,positive,not reported,not reported,not extracted,abstract_only,yes,80,2,16,0.3001,0.1144,-0.9529,,,exposure:particulate_matter; exposure:pm2_5; outcome:immune
PMID: 42607263,Climate-Smart Health Care: Role of the Family Physician.,PMID: 42607263,2026,heat/temperature; air pollution,cardiovascular; mortality; respiratory,,,,,children; low-income; workers,positive,not reported,not reported,not extracted,abstract_only,yes,82,3,1,0.2253,-0.9667,0.1852,,,exposure:air_pollution; exposure:heat_temperature; outcome:cardiovascular; outcome:mortality; outcome:respiratory; population:children; population:low_income; population:workers
PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions.,PMID: 42603825,2026,air pollution; particulate matter,cardiovascular; heart disease; respiratory,,,,,,positive,"15,361",not reported,Poisson regression,abstract_only,yes,93,4,8,0.2775,-0.6788,-0.7481,,,exposure:air_pollution; exposure:particulate_matter; outcome:cardiovascular; outcome:heart_disease; outcome:respiratory
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,PMID: 42600829,2026,PFAS; PFOS,cardiovascular,,,,,,positive,not reported,not reported,not extracted,abstract_only,yes,77,5,5,0.3722,-0.3532,0.9001,,,exposure:pfas; exposure:pfos; outcome:cardiovascular
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,PMID: 42600486,2026,PFAS; phthalate,birth weight,,,,cohort; prospective,maternal,negative,not reported,not reported,linear mixed-effects models,abstract_only,yes,82,6,17,0.4523,0.2349,0.6684,,,exposure:pfas; exposure:phthalate; outcome:birth_weight; population:maternal; study_design:cohort; study_design:prospective
PMID: 42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,PMID: 42600302,2026,PFAS; PFOA; PFOS,immune; pregnancy,,,,,maternal; pregnancy,positive,not reported,not reported,not extracted,abstract_only,yes,74,7,4,0.3338,0.7562,0.9645,,,exposure:pfas; exposure:pfoa; exposure:pfos; outcome:immune; outcome:pregnancy; population:maternal; population:pregnancy
PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy.,PMID: 42598180,2026,PM2.5; heat/temperature; particulate matter,asthma,,,,,,positive,288 patients,not reported,logistic regression,abstract_only,yes,72,8,9,0.2793,-0.2619,-0.764,,,exposure:heat_temperature; exposure:particulate_matter; exposure:pm2_5; outcome:asthma
PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas].,PMID: 42595534,2026,PM2.5; heat/temperature; particulate matter,heart disease; mortality,,,,meta-analysis,,positive,not reported,not reported,meta-analysis,abstract_only,yes,83,9,11,0.256,-0.3608,-0.6433,,,exposure:heat_temperature; exposure:particulate_matter; exposure:pm2_5; outcome:heart_disease; outcome:mortality; study_design:meta_analysis
PMID: 42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort.,PMID: 42595033,2026,PFAS; PFOA; PFOS,neurodevelopment; pregnancy,,,ECHO; Environmental influences on Child Health Outcomes,cohort,maternal; pregnancy,mixed,2836 mother-child pairs,not reported,linear mixed-effects models,abstract_only,yes,83,10,4,0.5556,0.7516,0.8657,,,cohort:echo; cohort:environmental_influences_on_child_health_outcomes; exposure:pfas; exposure:pfoa; exposure:pfos; outcome:neurodevelopment; outcome:pregnancy; population:maternal; population:pregnancy; study_design:cohort
