reference_index,batch_number,reference_id,title,status_hint
1,1,42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,see 05_pdf_download.json and package ZIPs
2,2,42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,see 05_pdf_download.json and package ZIPs
3,3,42607263,Climate-Smart Health Care: Role of the Family Physician.,see 05_pdf_download.json and package ZIPs
4,4,42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions.,see 05_pdf_download.json and package ZIPs
5,5,42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,see 05_pdf_download.json and package ZIPs
6,6,42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,see 05_pdf_download.json and package ZIPs
7,7,42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,see 05_pdf_download.json and package ZIPs
8,8,42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy.,see 05_pdf_download.json and package ZIPs
9,9,42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas].,see 05_pdf_download.json and package ZIPs
10,10,42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort.,see 05_pdf_download.json and package ZIPs
11,11,42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,see 05_pdf_download.json and package ZIPs
12,12,42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,see 05_pdf_download.json and package ZIPs
13,13,42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review.,see 05_pdf_download.json and package ZIPs
14,14,42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,see 05_pdf_download.json and package ZIPs
15,15,42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,see 05_pdf_download.json and package ZIPs
16,16,42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,see 05_pdf_download.json and package ZIPs
17,17,42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",see 05_pdf_download.json and package ZIPs
18,18,42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,see 05_pdf_download.json and package ZIPs
19,19,42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,see 05_pdf_download.json and package ZIPs
20,20,42544117,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina.,see 05_pdf_download.json and package ZIPs
21,21,42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,see 05_pdf_download.json and package ZIPs
22,22,42538170,Household incense burning and small for gestational age risk in newborn infants.,see 05_pdf_download.json and package ZIPs
23,23,42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,see 05_pdf_download.json and package ZIPs
24,24,42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,see 05_pdf_download.json and package ZIPs
25,25,42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China.",see 05_pdf_download.json and package ZIPs
26,26,42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",see 05_pdf_download.json and package ZIPs
27,27,42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.,see 05_pdf_download.json and package ZIPs
28,28,42524806,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health.,see 05_pdf_download.json and package ZIPs
29,29,42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.,see 05_pdf_download.json and package ZIPs
30,30,42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index.,see 05_pdf_download.json and package ZIPs
31,31,42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function.,see 05_pdf_download.json and package ZIPs
