article_id,title,publication_year,max_similarity_to_prior_articles,novelty_score,novelty_label
PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,2026,0.5777,0.4223,somewhat novel
PMID: 42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,2026,0.6284,0.3716,established/near existing cluster
PMID: 42607263,Climate-Smart Health Care: Role of the Family Physician.,2026,0.7944,0.2056,established/near existing cluster
PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions.,2026,0.67,0.33,established/near existing cluster
PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,2026,0.6793,0.3207,established/near existing cluster
PMID: 42600486,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,2026,0.479,0.521,somewhat novel
PMID: 42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,2026,0.7806,0.2194,established/near existing cluster
PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy.,2026,0.665,0.335,established/near existing cluster
PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas].,2026,0.7399,0.2601,established/near existing cluster
PMID: 42595033,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort.,2026,0.7183,0.2817,established/near existing cluster
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,2026,0.5642,0.4358,somewhat novel
PMID: 42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,2026,0.8475,0.1525,established/near existing cluster
PMID: 42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review.,2026,0.743,0.257,established/near existing cluster
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,2026,0.8312,0.1688,established/near existing cluster
PMID: 42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,2026,0.8562,0.1438,established/near existing cluster
PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,2026,0.6191,0.3809,established/near existing cluster
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",2026,0.909,0.091,established/near existing cluster
PMID: 42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,2026,0.7195,0.2805,established/near existing cluster
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,2026,0.6935,0.3065,established/near existing cluster
PMID: 42544117,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina.,2026,0.7336,0.2664,established/near existing cluster
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,2026,0.909,0.091,established/near existing cluster
PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants.,2026,0.724,0.276,established/near existing cluster
PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,2026,0.7643,0.2357,established/near existing cluster
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,2026,0.665,0.335,established/near existing cluster
PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China.",2026,0.6392,0.3608,established/near existing cluster
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",2026,0.8248,0.1752,established/near existing cluster
PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.,2026,0.7411,0.2589,established/near existing cluster
PMID: 42524806,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health.,2026,1.0,0.0,established/near existing cluster
PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.,2026,0.6198,0.3802,established/near existing cluster
PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index.,2026,0.5642,0.4358,somewhat novel
PMID: 42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function.,2026,0.765,0.235,established/near existing cluster
PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",2026,0.6663,0.3337,established/near existing cluster
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,2026,0.8562,0.1438,established/near existing cluster
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,2026,0.7312,0.2688,established/near existing cluster
PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,2026,0.6259,0.3741,established/near existing cluster
