id,chemical_name,casrn,dtxsid,chemical_class,market_or_product_use,exposure_potential,known_hazard_flags,toxicity_data_gaps,priority_score,testing_rationale,source_title,confidence,review_status,reviewer_notes
chem-0001,PFOS,not extracted,not extracted,single chemical,"TITLE: Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling Per- and polyfluoroalkyl substances (PFAS), particularly perfluorooctane sulfonate (PFOS), persist in humans and have been associated with cardiovascular outcomes, but cardiac-specific molecular responses remain incompletely characterized.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,high,pending,
chem-0002,phthalates,not extracted,not extracted,chemical class,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,55,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,high,pending,
chem-0003,PFAS,not extracted,not extracted,chemical class,"We conducted a prospective cohort study screening 300 xenobiotics spanning multiple chemical classes, including PFAS, phthalate metabolites, environmental phenols/parabens, and pesticide- or industrial-related chemicals, across maternal serum and paired cord blood to define the core maternal-fetal exposome.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,55,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape.,medium,pending,
chem-0004,PFOS,not extracted,not extracted,single chemical,"JEG-3 spheroids were exposed to multiple PFAS, including perfluorooctane sulfonate (PFOS), perfluorooctanoic acid (PFOA), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA), perfluorodecanoic acid (PFDA), and perfluoroundecanoic acid (PFUnDA), individually and as a mixture at real-life concentrations to assess viability, invasion and trophoblast-derived β-hCG secretion.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,high,pending,
chem-0005,PFHxS,not extracted,not extracted,single chemical,"JEG-3 spheroids were exposed to multiple PFAS, including perfluorooctane sulfonate (PFOS), perfluorooctanoic acid (PFOA), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA), perfluorodecanoic acid (PFDA), and perfluoroundecanoic acid (PFUnDA), individually and as a mixture at real-life concentrations to assess viability, invasion and trophoblast-derived β-hCG secretion.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,high,pending,
chem-0006,PFOA,not extracted,not extracted,single chemical,"JEG-3 spheroids were exposed to multiple PFAS, including perfluorooctane sulfonate (PFOS), perfluorooctanoic acid (PFOA), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA), perfluorodecanoic acid (PFDA), and perfluoroundecanoic acid (PFUnDA), individually and as a mixture at real-life concentrations to assess viability, invasion and trophoblast-derived β-hCG secretion.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,high,pending,
chem-0007,PFOA,not extracted,not extracted,single chemical,"Maternal serum concentrations of perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), perfluorononanoic acid (PFNA), and perfluorohexane sulfonic acid (PFHxS) were measured during pregnancy.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,90,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS Exposure and Early Childhood Sleep Quality in the ECHO Cohort.,high,pending,
chem-0008,PFHxS,not extracted,not extracted,single chemical,"Maternal serum concentrations of perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), perfluorononanoic acid (PFNA), and perfluorohexane sulfonic acid (PFHxS) were measured during pregnancy.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,90,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS Exposure and Early Childhood Sleep Quality in the ECHO Cohort.,high,pending,
chem-0009,PFOS,not extracted,not extracted,single chemical,"Maternal serum concentrations of perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), perfluorononanoic acid (PFNA), and perfluorohexane sulfonic acid (PFHxS) were measured during pregnancy.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,90,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS Exposure and Early Childhood Sleep Quality in the ECHO Cohort.,high,pending,
chem-0010,titanium dioxide,not extracted,not extracted,metal oxide,"Pregnant Sprague Dawley rats were exposed to titanium dioxide nanoparticles (9.8 ± 1.0 mg/m) to model occupational-level exposure to airborne particulates, from gestational day (GD) 5 to GD 19 via whole-body inhalation.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,65,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,high,pending,
