id,title,citation,sample_size,population_size,statistical_methods,population,study_design,evidence_sentence,abstract_available
method-0001,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis,PMID: 42623452,not reported,not reported,not extracted,not specified,not specified,not extracted,yes; possibly incomplete
method-0002,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform,PMID: 42611483,not reported,not reported,not extracted,not specified,not specified,not extracted,yes; possibly incomplete
method-0003,Climate-Smart Health Care: Role of the Family Physician,PMID: 42607263,not reported,not reported,not extracted,children,not specified,not extracted,yes; possibly incomplete
method-0004,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions,PMID: 42603825,"15,361",not reported,Poisson regression,not specified,not specified,"We used NYC COVID-19 hospitalization records (March-December 2020; N = 15,361) and defined short-term PM as a 7-day residential ZIP Code average prior to and including hospitalization, using Environmental Protection Agency (EPA) Community Multiscale Air Quality (CMAQ) modeled data.",yes; possibly incomplete
method-0005,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling,PMID: 42600829,not reported,not reported,not extracted,not specified,experimental animal,not extracted,yes; possibly incomplete
method-0006,A prospective twin cohort investigates placental transfer efficiency as a potential determinant of fetal growth across a 300-xenobiotic maternal-fetal exposure landscape,PMID: 42600486,not reported,not reported,linear mixed-effects models,pregnant women/infants,prospective cohort study,"In linear mixed-effects models, higher TPT indices of MMP (β = - 15.14; 95% CI: -27.66 to - 2.62), MBP (β = - 11.61; 95% CI: -22.17 to - 1.05), and PFTrDA (β = - 34.60; 95% CI: -67.91 to - 1.30) were nominally associated with lower birth weight.",yes; possibly incomplete
method-0007,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy,PMID: 42600302,not reported,not reported,not extracted,pregnant women/infants,not specified,not extracted,yes
method-0008,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy,PMID: 42598180,288 patients,not reported,logistic regression,not specified,not specified,We consecutively recruited 288 newly diagnosed adult patients with asthma and followed them for at least 6 months according to the Global Initiative for Asthma (GINA) strategy.,yes
method-0009,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas],PMID: 42595534,not reported,not reported,meta-analysis,not specified,meta-analysis,A meta-analysis was conducted to calculate cumulative relative risk () and attributable deaths.,yes
method-0010,Prenatal PFAS exposure and early childhood sleep quality in the ECHO Cohort,PMID: 42595033,2836 mother-child pairs,not reported,linear mixed-effects models,2836 mother-child pairs from mother-child cohorts,cohort study,The analytic sample included 2836 mother-child pairs from 14 study sites in the Environmental influences on Child Health Outcomes (ECHO) Cohort.,yes
method-0011,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 42595030,1833 adults,not reported,logistic regression,cohort participants,cross-sectional study,We performed a cross-sectional analysis of 1833 adults (40-60 years) from the Awi-Gen study.,yes
method-0012,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats,PMID: 42594972,not reported,not reported,not extracted,pregnant women/infants,experimental animal,not extracted,yes
method-0013,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review,PMID: 42588124,not reported,not reported,not extracted,pregnant women/infants/children,review/perspective,not extracted,yes; possibly incomplete
method-0014,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes,PMID: 42551848,1223 cycles,not reported,linear mixed models,pregnant women/infants,placebo-controlled randomized trial,"In the Folic Acid and Zinc Supplementation Trial (2013-2018), 592 male partners resided in the Salt Lake City area with at least one IUI cycle in 9 months of follow-up (n = 1223 cycles).",yes
method-0015,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors,PMID: 42570382,474 women,not reported,not extracted,pregnant women/infants,cross-sectional study,We used confirmatory factor analysis and structural equation modeling to estimate integrated path models for 10 distinct heat-protective behaviors based on the PMT using a cross-sectional sample of 474 pregnant women in Germany..,yes; possibly incomplete
method-0016,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis,PMID: 42568331,"990,157 participants",not reported,meta-analysis,children,systematic review/meta-analysis,"Meta-analysis was limited to PM, PM, and NO because cohort data for other pollutants were limited, and exposure increments and hypertension definitions varied across studies.",yes; possibly incomplete
method-0017,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia",PMID: 42565432,not reported,not reported,not extracted,not specified,time-series epidemiologic study,not extracted,yes
method-0018,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort,PMID: 42551796,548,not reported,multivariable linear regression; adjusted logistic regression; linear mixed models; generalized additive models,pregnant women in the Puerto Rico PROTECT cohort,observational pregnancy cohort study,We examined this relationship in the Puerto Rico PROTECT cohort (N = 548).,yes; possibly incomplete
method-0019,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia,PMID: 42557995,not reported,not reported,not extracted,not specified,cross-sectional study,not extracted,yes; possibly incomplete
method-0020,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina,PMID: 42544117,not reported,not reported,not extracted,pregnant women/infants,not specified,not extracted,yes
method-0021,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review,PMID: 42540534,not reported,not reported,not extracted,children,review/perspective,not extracted,yes; possibly incomplete
method-0022,Household incense burning and small for gestational age risk in newborn infants,PMID: 42538170,"18,666 mother-infant pairs",not reported,logistic regression,pregnant women/infants,cohort study,"We analyzed data from 18,666 mother-infant pairs enrolled in the Taiwan Birth Cohort Study with follow-up at 6 months postpartum.",yes; possibly incomplete
method-0023,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment,PMID: 42534890,not reported,not reported,not extracted,pregnant women/infants/children,not specified,not extracted,yes; possibly incomplete
method-0024,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,PMID: 42529083,936 children,not reported,logistic regression,children,retrospective cohort study,Multivariable logistic regression was performed to identify factors associated with hospitalization.,yes; possibly incomplete
method-0025,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China",PMID: 42529026,"87,913 deaths",not reported,generalized additive quasi-Poisson models,daily CVD mortality records,time-series epidemiologic study,"Generalized additive quasi-Poisson models were used to estimate associations across single-day lags (lag0-lag7) and cumulative lag windows (lag0-1 to lag0-7), adjusting for long-term trends, temperature, relative humidity, and day of the week.",yes
method-0026,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA",PMID: 42528898,not reported,not reported,not extracted,older adults,not specified,not extracted,yes; possibly incomplete
method-0027,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality,PMID: 42524808,not reported,not reported,Poisson regression,daily CVD mortality records,time-series epidemiologic study,"We estimated relative risks (RRs) using quasi-Poisson regression and evaluated additive interaction using the relative excess risk due to interaction (RERI), attributable proportion, and synergy index..",yes; possibly incomplete
method-0028,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health,PMID: 42524806,not reported,not reported,not extracted,not specified,not specified,not extracted,no
method-0029,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction,PMID: 42521043,not reported,not reported,not extracted,not specified,experimental animal,not extracted,yes
method-0030,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index,PMID: 42520874,5528 participants; 656 longitudinal subcohort,not reported,linear mixed-effects models; generalized additive models,5528 participants undergoing coronary computed tomography angiography,retrospective cohort study with longitudinal subcohort,"We analyzed 5528 participants undergoing coronary computed tomography angiography (CCTA), including a longitudinal subcohort of 656 individuals with serial scans.",yes
method-0031,Maternal exposure to particulate matter during pregnancy and offspring liver function,PMID: 42520868,not reported,not reported,linear regression,pregnant women/infants/children,cohort study,Linear regression models were used and restricted cubic spline (RCS) models were further applied to explore the exposure-response relationships.,yes
method-0032,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation",PMID: 42520653,"1,387 participants",not reported,linear mixed-effects models,not specified,cohort study,"We analyzed 1,387 participants from the Study of Women's Health Across the Nation from 1999 to 2000 to 2015 to 2016.",yes; possibly incomplete
method-0033,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study,PMID: 42512137,195 individuals,not reported,not extracted,pregnant women/infants,cross-sectional study,"A cross-sectional survey of 195 pregnant individuals in Bexar County, TX, USA, was conducted during the summer and fall of 2024.",yes; possibly incomplete
method-0034,Air pollution and cardiovascular disease: A review of current scientific data,PMID: 42508048,not reported,not reported,not extracted,children,not specified,not extracted,yes; possibly incomplete
method-0035,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment],PMID: 42503941,not reported,not reported,not extracted,pregnant women/infants/children,not specified,not extracted,yes; possibly incomplete
method-0036,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation,PMID: 42500877,not reported,not reported,logistic regression; case-crossover analysis,cohort participants,case-crossover study,"Odds ratios (ORs) for all-cause and cardiovascular disease hospitalization and emergency department visits were estimated using conditional logistic regression at lag 0, 1, and 3 days, adjusting for extreme heat and public holidays.",yes
method-0037,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review,PMID: 42496250,not reported,not reported,not extracted,older adults,review/perspective,not extracted,yes; possibly incomplete
method-0038,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort,PMID: 42492149,499 participants,not reported,not extracted,pregnant women/infants,cohort study,"The study included 499 participants from the Barcelona Life Study Cohort (BiSC), recruited between October 2018 and April 2021.",yes
method-0039,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City,PMID: 42488199,not reported,not reported,not extracted,older adults,time-series epidemiologic study,not extracted,yes
method-0040,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women,PMID: 42488198,not reported,not reported,not extracted,pregnant women/infants,not specified,not extracted,yes
method-0041,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture.,PMID: 42484582,not reported,not reported,not extracted,not specified,not specified,not extracted,no
method-0042,Quantifying the Health Benefits Linked to Reduced Traffic-Related particulate matter exposure on Acute Coronary Syndrome Incidence in China.,PMID: 42483592,"627,828 cases",not reported,not extracted,not specified,case-crossover study,"We investigated the association of ACS onset with short-term traffic-related particulate matter exposure in a nationwide time-stratified case-crossover study, using 627,828 ACS cases extracted from the China Cardiovascular Association.",yes
method-0043,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency,PMID: 42483588,not reported,not reported,not extracted,pregnant women/infants,experimental animal,not extracted,yes; possibly incomplete
method-0044,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China.",PMID: 42483065,not reported,not reported,not extracted,older adults,time-series epidemiologic study,not extracted,yes
method-0045,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China",PMID: 42482688,not reported,not reported,generalized linear models,not specified,time-series epidemiologic study,"Generalized linear models with a quasi-Poisson distribution were used to estimate the excess risk (ER) associated with an interquartile range increase in exposure, with further analyses by cardiovascular disease (CVD) subtype, sex, and age, and additional adjustment for ozone (O3) and nitrogen dioxide (NO2).",yes
method-0046,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis,PMID: 42476417,not reported,not reported,meta-analysis,not specified,systematic review/meta-analysis,The American College of Sports Medicine (ACSM) provides recommendations for exertional heat illness risk assessment in different environmental conditions.,yes; possibly incomplete
method-0047,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves,PMID: 42474428,not reported,not reported,logistic regression,children,retrospective EHR-based cohort study,"Conditional logistic regression models estimated associations, and we assessed effect modification by individual characteristics and neighborhood factors.",yes; possibly incomplete
method-0048,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics,PMID: 42472615,not reported,not reported,not extracted,not specified,experimental animal,not extracted,yes
method-0049,Associations between wildland fire smoke PM and maternal blood pressure.,PMID: 42471626,not reported,not reported,linear regression,pregnant women/infants,not specified,"Using electronic medical records (2012-2019), we identified a set of healthcare encounters of pregnant individuals, assigned these encounters to the air quality monitor closest to the maternal residential address at the time of the encounter and estimated the acute effects (0 to 3 day lag periods) of wildland fire smoke particulate matter on maternal systolic and diastolic blood pressure measures across gestational periods using a multi-level linear regression model.",yes
method-0050,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study,PMID: 42466507,not reported,not reported,generalized additive quasi-Poisson models,not specified,clinical registry / study design paper,We collected daily data on cardiac-origin OHCAs from the All-Japan Utstein Registry and daily temperature and PM from monitoring networks across 47 prefectures during 2012 through 2019.,yes
method-0051,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types.,PMID: 42459959,not reported,not reported,not extracted,not specified,not specified,not extracted,yes
method-0052,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023",PMID: 42455550,not reported,not reported,not extracted,not specified,cohort study,not extracted,yes; possibly incomplete
method-0053,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China.,PMID: 42455100,"1,771 events",not reported,Cox proportional hazards models; machine learning models,cohort participants,prospective cohort study,"Cox proportional hazards models with time-varying exposures were used to estimate HRs and 95% CIs per IQR increase, adjusted for major demographic, behavioral, and clinical covariates.",yes
method-0054,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review,PMID: 42450330,not reported,not reported,not extracted,not specified,review/perspective,not extracted,yes; possibly incomplete
method-0055,Environmental exposome and its public health impact on COPD and asthma exacerbations in France,PMID: 42449303,not reported,not reported,logistic regression,pregnant women/infants,not specified,Associations between environmental and socioeconomic exposures and exacerbation risk were evaluated using univariate conditional logistic regression.,yes; possibly incomplete
method-0056,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation,PMID: 42447841,61 patients,not reported,not extracted,not specified,cross-sectional study,"Cross-sectional study, including 61 consecutive patients undergoing coronary angiography for suspected CAD, stratified into: ST-segment elevation myocardial infarction (STEMI, n = 19), chronic coronary syndromes (CCS, n = 20), and controls with normal coronary arteries (n = 22).",yes
method-0057,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study",PMID: 42445923,"27,783 mother-child pairs",not reported,not extracted,"27,783 mother-child pairs from mother-child cohorts",cross-sectional study,"We analysed data from the 2024 Nigeria Demographic and Health Survey, including 27,783 mother-child pairs.",yes; possibly incomplete
